,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
TRBV7-9,0.9524,0.047599999999999976,2.996152153791112,1.1600302e-05,3.156107e-05,1e-07,0.5,-6.2280593,-6.580232,5.007325,-16.305079,12.297288,0.018639851,0.030343898,0.01507537688442211,0.024390243902439025,0.17019963,0.33652037,True,Tumor vs Normal,Tumor,Normal
TRBV20-1,0.9550000000000001,0.04499999999999993,3.055048638959419,1.5796686e-05,3.647275e-05,1e-07,0.5,-5.6385674,-6.1543703,5.139536,-16.998985,10.487174,0.0055072727,0.042581916,0.005025125628140704,0.024390243902439025,0.060899533,0.3901623,True,Tumor vs Normal,Tumor,Normal
TRBV6-6,0.9466,0.0534,2.8750656948042224,2.162927e-06,6.2221516e-06,1e-07,0.5,-5.482851,-6.038269,4.6248245,-15.440283,9.666268,0.013753416,0.0,0.010050251256281407,0.0,0.123214364,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV7-2,0.9571999999999999,0.04280000000000006,3.1074740302487704,1.1900932e-05,2.3361907e-05,1e-07,0.5,-5.4547267,-6.1760025,4.925976,-16.505405,11.728138,0.010330315,0.071566455,0.010050251256281407,0.07317073170731708,0.10954733,0.7434558,True,Tumor vs Normal,Tumor,Normal
WNT1,0.9488,0.05120000000000002,2.9194583114251467,3.4198766e-07,2.8313818e-06,1e-07,0.5,-5.22669,-5.5773144,3.4021022,-14.9861965,6.4555645,0.0010777718,0.0062580174,0.005025125628140704,0.024390243902439025,0.008488257,0.0660251,True,Tumor vs Normal,Tumor,Normal
NLRP6,0.9476,0.0524,2.8950257006709337,1.2422161e-06,1.1196059e-05,1e-07,0.5,-5.2203364,-5.577626,3.5025191,-14.040598,5.8605995,0.0017598278,0.04053382,0.005025125628140704,0.0975609756097561,0.014958588,0.4184994,True,Tumor vs Normal,Tumor,Normal
REG1A,0.9566,0.043399999999999994,3.0929256701788073,3.6378646e-05,1.1893054e-06,1e-07,0.5,5.1563907,5.5273075,3.5586193,-10.792661,18.090633,0.02863542,0.0,0.05527638190954774,0.0,0.33232623,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV19,0.9478,0.052200000000000024,2.8990608336247803,5.1216425e-06,1.4177853e-05,1e-07,0.5,-5.1354623,-5.825879,4.45417,-15.067439,12.160883,0.011848805,0.045171324,0.010050251256281407,0.04878048780487805,0.09628833,0.4435001,True,Tumor vs Normal,Tumor,Normal
TRBV12-3,0.9494,0.05059999999999998,2.931878442728327,4.265201e-06,5.7496827e-06,1e-07,0.5,-5.013122,-5.7388163,4.673422,-14.762062,11.247307,0.0,0.0039191744,0.0,0.024390243902439025,0.0,0.042170312,True,Tumor vs Normal,Tumor,Normal
TRBV5-1,0.954,0.04600000000000004,3.03202206805009,2.1995187e-05,2.9643375e-05,1e-07,0.5,-4.7879076,-5.4651527,4.6434345,-15.827627,12.830776,0.015126786,0.02322867,0.020100502512562814,0.024390243902439025,0.12714806,0.21179193,True,Tumor vs Normal,Tumor,Normal
TRBV7-6,0.9454,0.05459999999999998,2.8515740630356436,3.1705436e-06,7.888236e-06,1e-07,0.5,-4.764387,-5.4366083,4.287197,-14.952814,12.544025,0.003589964,0.0,0.005025125628140704,0.0,0.03561983,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV5-4,0.9462,0.05379999999999996,2.867180320724311,5.0086837e-06,8.985308e-06,1e-07,0.5,-4.733666,-5.3971844,4.383305,-13.243804,11.313549,0.0022967907,0.037583537,0.005025125628140704,0.04878048780487805,0.022788888,0.43008336,True,Tumor vs Normal,Tumor,Normal
RBKS,0.9556,0.044399999999999995,3.0690997312529054,2.1717477e-05,0.00013904057,1e-07,0.5,-4.6000752,-5.0115337,2.8445227,-12.471356,6.219245,0.040431652,0.18812159,0.08040201005025124,0.39024390243902446,0.38021517,1.8722043,True,Tumor vs Normal,Tumor,Normal
TRBV29-1,0.9452,0.05479999999999996,2.8477061794568197,3.161227e-06,9.817121e-06,1e-07,0.5,-4.504453,-4.878828,3.7162197,-14.983012,7.847846,0.0049674604,0.01886005,0.005025125628140704,0.07317073170731708,0.0489003,0.17633298,True,Tumor vs Normal,Tumor,Normal
TRBV2,0.9511999999999999,0.048800000000000066,2.9699938381124933,4.08302e-06,9.430888e-06,1e-07,0.5,-4.328486,-4.907419,4.1133976,-13.417288,10.067973,0.006518556,0.050921645,0.005025125628140704,0.04878048780487805,0.060427498,0.4418234,True,Tumor vs Normal,Tumor,Normal
NR4A3,0.947,0.05300000000000005,2.88300700151439,2.1475027e-05,0.0001038839,1e-07,0.5,-3.720768,-3.913669,3.1391263,-11.182358,10.380336,0.036299855,0.09610291,0.06030150753768845,0.26829268292682923,0.36293045,0.93816096,True,Tumor vs Normal,Tumor,Normal
LYZ,0.9471999999999999,0.05280000000000007,2.886998894581035,7.186284e-05,2.3697787e-05,1e-07,0.5,3.2292542,3.2516747,3.0492735,-11.173814,13.757506,0.060627244,0.038004614,0.09045226130653264,0.024390243902439025,0.5400924,0.32979795,True,Tumor vs Normal,Tumor,Normal
