Cell_Type,Left,Right
B Cells,52.26471134211992,47.73528865788008
CD4+ T Cells,55.90827908048625,44.09172091951374
CD8+ T cells,56.66566806470941,43.33433193529059
CMS2,44.698660714285715,55.30133928571429
CMS3,50.077399380804955,49.922600619195045
Dendritic cells,66.270783847981,33.729216152019006
Enteric glia cells,51.02040816326531,48.97959183673469
Follicular helper T cells,35.19515477792732,64.80484522207269
Gamma delta T cells,64.44610778443113,35.55389221556886
Helper 17 T cells,80.39545645771982,19.604543542280183
Mast cells,39.25233644859813,60.747663551401864
Mature Enterocytes type 2,48.15950920245399,51.84049079754601
NK cells,63.71212121212121,36.28787878787879
Pericytes,45.076586433260395,54.92341356673961
Plasma Cells,70.83333333333334,29.166666666666668
Plasmacytoid Dendritic Cells,69.66292134831461,30.337078651685395
Regulatory T Cells,65.62579984642949,34.37420015357052
Spp1+,49.326805385556916,50.673194614443084
Stromal 2,48.82943143812709,51.17056856187291
Stromal 3,58.46153846153847,41.53846153846154
Tip-like ECs,38.52459016393443,61.47540983606557
