Cell_Type,Scanpy_DEGs,scVI_DEGs,Overlap,Scanpy_only,scVI_only,Overlap_pct
Mature Enterocytes type 2,23,176,23,0,153,13.068181818181818
Stromal 3,20,1505,20,0,1485,1.3289036544850499
Dendritic cells,17,177,17,0,160,9.6045197740113
CMS3,12,19,12,0,7,63.1578947368421
Spp1+,7,146,7,0,139,4.794520547945205
Pericytes,7,78,7,0,71,8.974358974358974
Stromal 2,6,31,6,0,25,19.35483870967742
Enteric glia cells,4,112,4,0,108,3.571428571428571
Tip-like ECs,3,29,3,0,26,10.344827586206897
Mast cells,3,117,3,0,114,2.564102564102564
CMS2,2,21,2,0,19,9.523809523809524
B Cells,0,1,0,0,1,0.0
Plasma Cells,0,17,0,0,17,0.0
